"Type","Name","SizeGB","Modified","Path"
"Unknown","yolov8x.onnx","0.254","2024-03-14 11:40:32","C:\Users\AWA007\Desktop\Data\school\The first semester of the sophomore year\计算机基础\final project\Camera_connect\passenger-flow-algorithm-python\weights\yolov8x.onnx"
"Unknown","yolov8n.pt","0.006","2024-12-13 20:30:22","C:\Users\AWA007\Documents\WeChat Files\wxid_d9grjrfcokn722\FileStorage\File\2024-12\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2025-12-08 23:46:03","C:\Users\AWA007\Desktop\Data\school\the first semester of the junior year\机器人\yolo\kuaizi\ultralytics\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2025-12-09 09:08:34","C:\Users\AWA007\Desktop\Data\school\the first semester of the junior year\机器人\yolo\people detect\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2024-12-10 20:18:00","C:\Users\AWA007\Desktop\Data\school\The first semester of the sophomore year\计算机基础\calaculate\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2024-12-10 15:54:18","C:\Users\AWA007\Desktop\Data\school\The first semester of the sophomore year\计算机基础\calaculate\ultralytics-main\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2024-12-23 21:06:57","C:\Users\AWA007\Desktop\Data\school\The first semester of the sophomore year\计算机基础\final project\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2024-12-23 21:32:03","C:\Users\AWA007\Desktop\Data\school\The first semester of the sophomore year\计算机基础\final project\Camera_connect\passenger-flow-algorithm-python\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2024-12-10 20:18:00","C:\Users\AWA007\Desktop\Data\school\The first semester of the sophomore year\计算机基础\final project\suan fa\calaculate\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2024-12-10 15:54:18","C:\Users\AWA007\Desktop\Data\school\The first semester of the sophomore year\计算机基础\final project\suan fa\calaculate\ultralytics-main\yolov8n.pt"
"Unknown","yolov8n.pt","0.006","2025-12-09 00:39:17","C:\Users\AWA007\Desktop\Data\school\the first semester of the junior year\机器人\yolo\kuaizi\yolov8n.pt"
"Unknown","yolo11n.pt","0.005","2025-05-08 21:29:45","C:\Users\AWA007\Desktop\Data\school\the first semester of the junior year\机器人\yolo\kuaizi\ultralytics\yolo11n.pt"
"Unknown","yolo11m.pt","0.038","2025-05-09 02:57:55","C:\Users\AWA007\Desktop\Data\school\the first semester of the junior year\机器人\yolo\kuaizi\ultralytics\yolo11m.pt"
"Unknown","Ycbsq_bootloader(1).bin","0","2025-08-26 11:13:09","C:\Users\AWA007\Desktop\Data\school\Out Of Class\禹充_汽车避锁器\软件\最终版\Ycbsq_bootloader(1).bin"
"Unknown","Ycbsq_bootloader.bin","0","2025-08-26 11:13:09","C:\Users\AWA007\Desktop\Data\school\Out Of Class\禹充_汽车避锁器\软件\新修改\Ycbsq_bootloader.bin"
"Unknown","Ycbsq_APP1(3).bin","0","2025-08-26 17:02:21","C:\Users\AWA007\Desktop\Data\school\Out Of Class\禹充_汽车避锁器\软件\新修改\Ycbsq_APP1(3).bin"
"Unknown","Ycbsq_APP1.bin","0","2025-08-26 11:15:27","C:\Users\AWA007\Desktop\Data\school\Out Of Class\禹充_汽车避锁器\软件\新修改\Ycbsq_APP1.bin"
"Unknown","Ycbsq_APP1_Without_NewPosition.bin","0","2025-08-29 14:14:27","C:\Users\AWA007\Desktop\Data\school\Out Of Class\禹充_汽车避锁器\软件\最终版\Ycbsq_APP1_Without_NewPosition.bin"
"Unknown","Ycbsq_APP1_NewPosition.bin","0","2025-08-29 16:12:14","C:\Users\AWA007\Desktop\Data\school\Out Of Class\禹充_汽车避锁器\软件\最终版\Ycbsq_APP1_NewPosition.bin"
"Unknown","wavelets.bin","0","2015-08-03 22:24:18","C:\Users\AWA007\Desktop\Data\Code shool\matlab\matlab\toolbox\wavelet\wavelet\wavelets.bin"
"Unknown","vipmen.bin","0.008","2010-08-25 13:09:22","C:\Users\AWA007\Desktop\Data\Code shool\matlab\matlab\toolbox\vision\visiondata\vipmen.bin"
"Unknown","v8_context_snapshot.bin","0.001","2019-10-04 03:36:46","C:\Users\AWA007\Desktop\Data\其他资料\工具\CAD__2021\x64\acad\PF\Root\AcCef\v8_context_snapshot.bin"
"Unknown","usbd_audio.bin","0","2023-07-12 14:35:08","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\嵌入式软件开发\zhilan\goodix\GR5526_SDK_V1.0.2\projects\peripheral\usbd\usbd_audio\build\usbd_audio.bin"
"Unknown","udp_port_5000.bin","0","2023-11-01 21:40:09","C:\Users\AWA007\Desktop\Data\其他资料\工具\STM32Cube_FW_F4_V1.28.0\Middlewares\Third_Party\LwIP\test\fuzz\inputs\udp\udp_port_5000.bin"
"Unknown","tiny_usbd_hid_composite_freertos.bin","0","2023-07-12 14:34:36","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\嵌入式软件开发\zhilan\goodix\GR5526_SDK_V1.0.2\projects\peripheral\usbd\tiny_usbd_hid_composite_freertos\build\tiny_usbd_hid_composite_freertos.bin"
"Unknown","tiny_usbd_cdc.bin","0","2023-07-12 14:33:50","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\嵌入式软件开发\zhilan\goodix\GR5526_SDK_V1.0.2\projects\peripheral\usbd\tiny_usbd_cdc\build\tiny_usbd_cdc.bin"
"Unknown","Test-Dynamic-fw.bin","0.001","2024-05-06 10:25:30","C:\Users\AWA007\Desktop\Data\school\Out Of Class\Custom Keyboard\HelloWord-Keyboard\2.Firmware\_Release\Test-Dynamic-fw.bin"
"Unknown","test_XRGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\LZ4\test_XRGB8888.bin"
"Unknown","test_XRGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align1\RLE\test_XRGB8888.bin"
"Unknown","test_XRGB8888.bin","0","2024-03-12 13:37:32","C:\Users\AWA007\Desktop\Data\personal\文档\项目\智能触屏手表\项目1\GUI\lv_port_pc_visual_studio\LvglPlatform\lvgl\tests\test_images\stride_align64\LZ4\test_XRGB8888.bin"
